id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45693394,36 sqm suite in Borne,266657277,Marco,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38749,2.17458,Private room,120,1,6,2021-05-31,0.83,25,365,6,Exempt
45693548,Nice Double room next to Paseo de Gracia,266657277,Marco,Eixample,la Dreta de l'Eixample,41.38976,2.16291,Private room,45,1,11,2021-03-25,1.00,25,351,11,Exempt
45694067,Hostal Delfos - Individual. Baño compartido - Tarifa estandar,370146799,Hostal,Eixample,Sant Antoni,41.38473,2.16369,Private room,39,1,6,2021-09-02,1.40,5,313,6,HUTB-003924
45694199,Hostal Delfos - Individual. Con baño - Tarifa estandar,370146799,Hostal,Eixample,Sant Antoni,41.38473,2.16369,Private room,51,1,3,2021-08-02,0.28,5,312,3,HUTB-003924
45694226,Hostal Delfos - Doble. baño compartido - Tarifa estandar,370146799,Hostal,Eixample,Sant Antoni,41.38473,2.16369,Private room,51,1,12,2021-09-02,5.81,5,339,12,HUTB-003924
45694257,Hostal Delfos - Doble. Baño privado - Tarifa estandar,370146799,Hostal,Eixample,Sant Antoni,41.38473,2.16369,Private room,62,1,1,2021-08-22,1,5,333,1,HUTB-003924
45694284,Hostal Delfos - Doble + cama supletoria. Baño privado - Tarifa estandar,370146799,Hostal,Eixample,Sant Antoni,41.38473,2.16369,Private room,73,1,14,2021-08-29,2.03,5,335,14,HUTB-003924
45733680,Klinker Apartment Design Apartment in el Born,370718107,Alexandre,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3845,2.18015,Entire home/apt,67,30,0,,,11,10,0,Exempt
45734359,Cosy 2-Bedroom apartment near Palau de la Musica,325564929,Yasha,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38874,2.17613,Entire home/apt,33,30,3,2021-07-26,0.65,5,223,3,
45734858,Alohause | Lujosa y Luminosa hab | Duplex | Plz.Es,204662752,Tania & Gonzalo,Sants-Montjuïc,Hostafrancs,41.3708,2.1427,Private room,23,30,0,,,36,223,0,
45737135,Estudio nuevo con balcón a 2`del metro p5,221565230,Carmel Y Marta,Sants-Montjuïc,Sants - Badal,41.37614,2.1256,Entire home/apt,35,30,3,2021-05-11,0.39,4,348,3,
45741348,PLAZA CATALUÑA & RAMBLAS EXTRA LARGE PRIVATE ROOM,255540864,Gonzalo,Ciutat Vella,el Barri Gòtic,41.38035,2.17411,Private room,99,3,0,,,4,51,0,HUTB-258591
45746825,AB Premium Old Town - Ref. GI2738,170716140,Robbie&K,Ciutat Vella,el Raval,41.38158,2.1659,Entire home/apt,300,32,0,,,157,3,0,
45746826,AB Premium Old Town - Ref. GI2740,170716140,Robbie&K,Ciutat Vella,el Raval,41.38355,2.16435,Entire home/apt,300,32,0,,,157,144,0,
45746829,AB Premium Old Town - Ref. GI2741,170716140,Robbie&K,Ciutat Vella,el Raval,41.38144,2.16601,Entire home/apt,300,32,0,,,157,285,0,
45746921,Wonderful & renovated 2BR apartment (1),362312215,Xavier,Ciutat Vella,el Barri Gòtic,41.37974,2.1765,Entire home/apt,171,90,0,,,8,127,0,HUTB-000114
45750792,Piso con encanto en el centro de Barcelona,9604209,Sara,Ciutat Vella,el Raval,41.37616,2.1673,Entire home/apt,200,31,0,,,3,365,0,
45762629,Miquel Angel - Camp Nou 21,370992036,Kamel,Sants-Montjuïc,Sants,41.37632,2.1319,Entire home/apt,46,30,0,,,14,0,0,
45763737,"Kahlo, Friendly Rentals",339968354,Monthly,Eixample,l'Antiga Esquerra de l'Eixample,41.39453,2.15159,Entire home/apt,48,31,1,2021-08-27,1,6,315,1,
45764430,Felipe Quiet 42,370992036,Kamel,Sant Andreu,la Sagrera,41.42311,2.18537,Entire home/apt,42,30,3,2021-05-16,0.36,14,0,3,
45764930,Elegant and modern 2 bedroom ap near Poble Sec,130223809,Daiga,Sants-Montjuïc,el Poble Sec,41.37459,2.1586,Entire home/apt,35,32,0,,,35,144,0,
