id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,121,1,21,2019-10-11,0.23,19,58,0,HUTB-002062
23197,Forum CCIB DeLuxe★Spacious &Elegant★Large Balcony,90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41291,2.22063,Entire home/apt,229,4,52,2019-12-15,0.75,2,128,0,HUTB-005057
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,144,2,63,2019-09-06,0.61,3,44,0,HUTB-001722
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,189,4,154,2020-03-11,1.54,2,156,5,HUTB-001506
35379,Double 04 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39161,2.15075,Private room,41,2,358,2021-07-21,4.06,4,163,45,Exempt
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39082,2.15242,Private room,31,2,309,2019-10-01,3.49,4,163,56,
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39047,2.15263,Private room,31,2,310,2021-07-29,3.61,4,163,39,Exempt
35392,Double 03 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39013,2.15231,Private room,46,2,260,2020-03-14,3.36,4,163,29,Exempt
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,36,2,79,2019-08-21,1.30,1,246,6,
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,59,2,185,2019-12-07,1.53,6,99,25,HUTB-001282
46153,CHIC SANT PERE ★NO SHARING ★GREAT LOCATION ★,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38866,2.17839,Entire home/apt,30,128,3,2021-04-30,0.02,2,227,1,Exempt
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,146,2,43,2019-08-18,0.75,3,131,1,HUTB-001723
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.3897,2.16396,Entire home/apt,135,2,54,2020-03-01,0.66,4,240,3,HUTB-005863
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,250,5,1,2011-06-23,0.01,1,363,0,HUTB-007966
71553,Unique  Promotion   penthouse by Sagrada Familia,366654,Watermen Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,100,2,58,2017-05-08,0.69,3,34,9,HUTB-002424
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,162,1,440,2021-09-03,6.44,6,141,122,HUTB-000173
73455,RAMBLAS FAMILY APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.38551,2.16665,Entire home/apt,148,2,122,2021-08-02,1.53,8,347,5,HUTB-001779
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,309,2,164,2019-07-26,1.75,3,70,0,HUTB-001722
73693,Huge family apt with patio: Central (HUTB-005825),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37315,2.1665,Entire home/apt,143,2,49,2020-01-03,0.72,4,280,0,hutb-005825
73700,Centrally located budget apartment (HUTB-005832),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37325,2.16049,Entire home/apt,95,2,89,2019-11-10,0.81,4,244,5,hutb-005832
75003,130. Hércules Pequeño 41,396363,Alcambarcelona,Eixample,la Sagrada Família,41.40399,2.17802,Entire home/apt,139,2,21,2019-05-17,0.61,98,342,1,HUTB-001363
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40682,2.18649,Entire home/apt,115,3,36,2019-03-18,0.31,9,211,6,HUTB-000083
80004,Parc Montjuic HUTB-004026 58,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37371,2.16706,Entire home/apt,130,4,129,2019-10-06,1.06,1,110,2,HUTB-004026
83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38237,2.16146,Private room,40,3,107,2019-03-17,0.85,4,84,0,
89756,"bcn-rentals apartment nº 1, just 10 min to Ramblas",488117,David Y Maria,Ciutat Vella,el Raval,41.37861,2.16737,Entire home/apt,256,6,17,2016-11-29,0.20,6,315,1,HUTB-013579
89776,Modernist flat Downtown Casa Estapé | Barcelona,488151,Pols,Eixample,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,120,3,336,2020-02-11,2.94,1,299,0,HUTB-002215
95719,Lovely room  in the heart of Barcelona with A/C,509260,Dalila,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38496,2.17982,Private room,60,4,234,2019-10-20,2.35,2,359,2,
97529,CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40913,2.16503,Entire home/apt,35,32,65,2015-05-05,0.63,1,222,1,
107437,Beautiful villa surrounded  of forest in Barcelona,556626,Cristina,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42864,2.09159,Entire home/apt,213,3,69,2020-03-15,1.21,2,241,7,HUTB-009025
110041,002. Alió 2 Apartment,396363,Alcambarcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,129,2,29,2018-12-03,0.79,98,333,4,HUTB-003671
110098,023. Gignàs Gótic Apartment,396363,Alcambarcelona,Ciutat Vella,el Barri Gòtic,41.38126,2.1801,Entire home/apt,136,2,58,2021-08-16,1.11,98,291,27,HUTB-000363
112538,✨Design Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,196,4,82,2017-05-01,0.99,19,15,2,HUTB-000333
117010,✨Spacious Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40647,2.17457,Entire home/apt,198,2,35,2016-06-07,0.38,19,0,0,HUTB000331
118228,✨Bright apt views Sagrada Familia / Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,191,2,15,2016-07-21,0.19,19,13,0,HUTB-000328
128463,Private Suite in residential area!!,635253,Sebastian,Sants-Montjuïc,Sants,41.37155,2.13664,Private room,38,3,291,2021-08-13,2.51,1,337,9,HUTB-012603
130227,Spacious Room with Pool and Terrace,641496,Dolors,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40779,2.21146,Private room,80,1,107,2019-12-02,1.19,1,336,2,Exempt
135513,APARTMENT AT RAMBLA POBLE NOU AND BEACH,664196,Teresa,Sant Martí,el Poblenou,41.39787,2.20429,Entire home/apt,100,2,130,2019-06-22,1.20,1,342,3,
136670,"double Room -UPC, ESADE, Barça, Real Club Tennis",610674,Maria,Les Corts,Pedralbes,41.38832,2.12201,Private room,55,30,128,2019-06-03,1.27,5,314,0,
138055,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,198,3,85,2017-07-08,0.69,19,0,3,HUTB000329
142121,You clean Barcelona Refuge 2 of 2,620454,Reinhard,Ciutat Vella,el Barri Gòtic,41.38062,2.17465,Entire home/apt,44,31,27,2014-05-13,0.33,3,0,0,
147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,Horta-Guinardó,el Guinardó,41.42337,2.1749,Private room,15,4,102,2019-07-14,1.32,1,321,5,Exempt
153376,Single room. central and quite,737399,Omar,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38615,2.17636,Private room,65,2,7,2019-09-25,0.27,1,1,0,
154437,Charming room  Diagonal wifi 100 Mb,474355,Annais,Eixample,l'Antiga Esquerra de l'Eixample,41.39202,2.15101,Private room,32,15,84,2020-02-22,0.98,1,66,4,Exempt
162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4064,2.17449,Entire home/apt,198,1,41,2016-12-27,0.36,19,0,0,HUTB000326
163536,Cosy design apartment trendy  Born 5 bed 2bathroom,713364,Horacio,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38663,2.18257,Entire home/apt,221,15,26,2015-08-29,0.29,2,365,0,
171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40671,2.18592,Entire home/apt,110,3,44,2020-01-02,0.44,9,152,0,HUTB-004663
171816,Sagrada Familia Clot Vista - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40681,2.18553,Entire home/apt,125,3,10,2019-06-28,0.27,9,77,0,HUTB-004664
174382,🌟Central Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.17455,Entire home/apt,143,2,6,2016-10-24,0.09,19,0,0,HUTB000327
179619,Affordable Barcelona for you!,860071,Joan,Sants-Montjuïc,la Bordeta,41.36969,2.13619,Private room,27,3,50,2017-07-16,0.46,2,0,0,Exempt
186540,Fully equipped loft near Sagrada Familia,896554,Josep Lluís,Sant Martí,el Clot,41.41253,2.18928,Entire home/apt,36,32,11,2019-03-03,0.18,1,53,0,
188267,"SPECIAL OFFER!!!  Platuinm flat Balconies ,center",366654,Watermen Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39258,2.17692,Entire home/apt,280,2,84,2021-08-22,0.99,3,118,3,hutb-005119
190348,Apartment with large terrace,919480,Elisa,Les Corts,Pedralbes,41.38893,2.12443,Private room,46,7,1,2016-06-09,0.02,1,0,0,
196021,"Large patio, 3 en-suite baths, 19th cent, central",953719,Maria,Eixample,l'Antiga Esquerra de l'Eixample,41.38842,2.16108,Entire home/apt,193,4,271,2021-08-24,2.83,1,251,6,HUTB-506707
196196,✨Large Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4066,2.17459,Entire home/apt,196,2,92,2020-03-11,0.76,19,11,0,HUTB-000325
197267,Cozy Studio in Gracia Neighborhood,632830,"M Angeles, Federico",Gràcia,la Vila de Gràcia,41.40661,2.15115,Entire home/apt,28,31,346,2020-02-25,3.00,3,202,3,HUTB01295238
198958,STUNNING sea view + pool Barcelona!,971768,Akira,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40805,2.21487,Entire home/apt,332,2,63,2021-07-12,0.69,9,101,3,HUTB-000926
199794,Centric Double Room Private Bathroom,440825,Teresa,Eixample,l'Antiga Esquerra de l'Eixample,41.38359,2.15812,Private room,40,1,103,2019-09-09,1.10,1,316,8,Exempt
206122,Amazing Loft in BCN Center,1013855,Alejandro,Gràcia,la Vila de Gràcia,41.39877,2.15887,Entire home/apt,184,3,171,2020-02-04,1.90,2,78,0,HUTB-004315
206167,"Bright, comfy, central and with character",1014050,Minerva,Sants-Montjuïc,el Poble Sec,41.3724,2.1648,Entire home/apt,90,3,94,2021-08-01,0.82,1,331,5,HUTB-009804
209673,Sweet Apartment in Gràcia district!,1033366,Elena,Gràcia,la Vila de Gràcia,41.398,2.1553,Entire home/apt,73,2,256,2019-12-28,2.52,1,313,0,HUTB-010932
216699,SUPER CENTRAL CUTE DOUBLE ROOM+TERRACE!,1118232,Fran,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38482,2.17795,Private room,42,3,288,2019-04-15,2.53,1,0,0,
228638,Dble room in BCN with yoga shala,1190018,Maria Y Lucas,Gràcia,Vallcarca i els Penitents,41.41143,2.14856,Private room,40,2,18,2013-07-18,0.16,1,72,0,
234375,ATTIC VIEWS SAGRADA FAMILIA,1227290,Francesca,Eixample,el Fort Pienc,41.39889,2.17582,Entire home/apt,70,7,53,2020-06-30,1.02,1,69,5,HUTB-003754
238266,RURAL HOUSE IN THE HEART OF BARCEL!,1249627,Bel,Gràcia,la Vila de Gràcia,41.40156,2.15778,Private room,53,1,110,2016-05-16,0.97,1,363,0,
238703,☆Comfy central Flat Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,143,2,67,2021-06-20,0.78,19,0,4,HUTB000330
239821,"APARTAMENT BCN MIRALL, in the best neighborhood",1257705,José Luis,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39653,2.1442,Entire home/apt,175,2,27,2016-07-09,0.34,3,191,0,HUTB-005673
242335,Barceloneta Beach Apartment - FOR SEASON,15884961,Enjoy,Ciutat Vella,la Barceloneta,41.38113,2.18897,Entire home/apt,64,33,4,2015-12-21,0.04,9,328,0,Monthly rental only
250016,"Excellent - 3 bedrooms, 2 bathrooms - Gothic",1310304,Luis,Ciutat Vella,el Barri Gòtic,41.38595,2.17505,Entire home/apt,65,50,4,2019-12-08,0.21,64,253,0,
252232,Nice apartment with POOL BARCELONA,1298586,Kristjan Y Ana,Sant Martí,Sant Martí de Provençals,41.41626,2.20149,Entire home/apt,116,2,118,2019-03-19,1.07,6,73,4,HUTB-009465
255195,Lightly apartment with balcony to Las Ramblas,1310304,Luis,Ciutat Vella,el Raval,41.3817,2.17195,Entire home/apt,33,32,19,2019-12-15,8.03,64,288,3,
256354,room in cosy flat....,1348378,Lidia,Gràcia,Vallcarca i els Penitents,41.41437,2.13927,Private room,27,7,57,2019-05-17,0.52,2,225,8,
256677,Barcelona Center!The Gothic Area,1350468,Petrutz,Ciutat Vella,el Barri Gòtic,41.3801,2.17693,Private room,60,3,157,2020-02-23,1.42,1,364,1,
256982,Centric spacious nostalgic Room,1352184,Jasmin,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38333,2.18095,Private room,45,5,115,2021-05-24,1.49,1,301,7,
264125,Sagrada Familia 5' Metro WIFI fibre DISINFECTED,1377744,Esther & Gemma,Sant Martí,el Camp de l'Arpa del Clot,41.41228,2.17582,Entire home/apt,199,4,243,2019-09-14,2.39,2,351,1,HUTB-000806
265491,Beach room amazing view in center,1392322,Kitty,Ciutat Vella,la Barceloneta,41.37722,2.18944,Private room,50,31,163,2018-10-07,1.85,1,26,0,
267816,Luxury Motor Yacht in Barcelona Port Olímpic near Casino,1404293,Sergio,Ciutat Vella,el Barri Gòtic,41.37781,2.18445,Entire home/apt,1500,2,25,2019-02-20,0.36,2,354,1,Exempt
268017,Cozy Family Apartment in Eixample,1405013,Trove,Eixample,la Dreta de l'Eixample,41.392678900054925,2.17213827285116,Entire home/apt,219,1,12,2018-06-13,0.10,12,314,2,HUTB-004071
268022,Charming Deluxe Apartment in the Eixample,1405013,Trove,Eixample,la Dreta de l'Eixample,41.39183652364497,2.171456546722048,Entire home/apt,155,1,10,2017-09-15,0.18,12,322,1,HUTB-004072
269467,Sunny and quiet Loft next to Sagrada Familia,1411775,Jeremies,Eixample,la Sagrada Família,41.40181,2.1761,Entire home/apt,89,7,59,2020-02-26,1.41,2,96,5,HUTB-001129
271996,GR Apartment near Sagrada Familia,155686,Sonia,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40456,2.1681,Entire home/apt,51,31,13,2012-09-25,0.12,1,12,0,
272282,Exquisito apartamento con espacios abiertos y luz,1425070,Mar,Eixample,l'Antiga Esquerra de l'Eixample,41.38347,2.15802,Entire home/apt,299,3,312,2021-09-07,2.83,1,172,15,HUTB-003208
273229,Confortable and very well located,1429552,Marta,Eixample,Sant Antoni,41.3778,2.1582,Entire home/apt,60,10,144,2020-03-12,1.42,1,2,8,HUTB 004121
273932,Oriental Design apartment,1432835,Angel,Eixample,l'Antiga Esquerra de l'Eixample,41.3895,2.15769,Entire home/apt,94,3,178,2020-02-03,1.56,34,44,3,HUTB-004184
275336,Noname - Charming 3BR+Terrace just off Gran Via,1435464,Jaume,Eixample,la Nova Esquerra de l'Eixample,41.38307,2.15518,Entire home/apt,159,3,101,2020-01-05,1.34,20,218,4,HUTB-012040
275346,Sunny terrace penthouse by Camp Nou Free Nespresso,1435464,Jaume,Sarrià-Sant Gervasi,Sarrià,41.39176,2.12506,Entire home/apt,328,3,45,2021-07-14,0.66,20,268,3,HUTB-012910
275350,"Parsifal-Front Row Seat on La Rambla, Blend of Character and Modernity",1435464,Jaume,Ciutat Vella,el Raval,41.38099,2.17213,Entire home/apt,147,32,50,2019-08-10,0.65,20,304,0,
275889,La Rambla Zen 1BR apt in Center,1435464,Jaume,Ciutat Vella,el Raval,41.38034,2.17166,Entire home/apt,104,32,9,2012-06-10,0.14,20,365,0,
276324,COMFORTABLE IN GRACE APARTMENT,1443815,Francisca,Gràcia,la Vila de Gràcia,41.40292,2.16069,Entire home/apt,144,5,62,2020-02-29,0.55,1,340,3,HUTB-780374
276527,Nice rustic apartament - Parc Güell,1444707,Jesus,Gràcia,el Coll,41.42042,2.148,Entire home/apt,100,2,407,2021-06-21,3.67,2,224,39,HUTB - 004405
278036,Big Sunny Room - Paseo de Gracia,1451449,Pedro,Eixample,la Dreta de l'Eixample,41.39183,2.16695,Private room,17,8,176,2020-01-23,1.73,8,41,0,Exempt
281978,Big Private Room - Paseo de Gracia,1451449,Pedro,Eixample,la Dreta de l'Eixample,41.39258,2.16832,Private room,55,5,128,2017-01-07,1.08,8,131,0,Exempt
281985,Medium Sise Room - Paseo de Gracia,1451449,Pedro,Eixample,la Dreta de l'Eixample,41.39282,2.16614,Private room,45,5,156,2019-10-11,1.40,8,90,0,Exempt
283231,FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC,1475411,Francesco,Sant Martí,el Parc i la Llacuna del Poblenou,41.39086,2.18803,Entire home/apt,131,1,241,2021-07-16,2.09,1,277,24,HUTB-005731
288034,pb5 APRIL BARCELONA QUIET & WITH TERRACE NICE FLAT,1447144,Acomodis Apartments,Eixample,la Nova Esquerra de l'Eixample,41.38839,2.15019,Entire home/apt,119,3,19,2019-10-31,0.17,128,365,0,
290592,Views SagradaFamilia + metro + WIFI + disinfected,1377744,Esther & Gemma,Eixample,la Sagrada Família,41.41042,2.17595,Entire home/apt,199,3,234,2019-12-06,2.35,2,352,0,HUTB-014728
295200,Attic penthouse with private terrace,612665,Oscar,Gràcia,la Vila de Gràcia,41.40697,2.16106,Entire home/apt,92,3,170,2019-10-01,1.48,4,126,19,HUTB-012627
297066,City Center apartment near a sea & Sagrada Familia,1541784,Aga,Sants-Montjuïc,el Poble Sec,41.37383,2.16894,Entire home/apt,100,1,701,2021-07-23,6.19,1,357,67,HUTB-004770
308166,"ARTIST HOUSE IN DOWNTOWN, GAUDI, LIGHT SUN",1561612,Carlos,Eixample,la Dreta de l'Eixample,41.39318,2.15899,Entire home/apt,155,3,176,2019-11-16,2.27,1,2,0,HUTB-008740
315769,Sagrada Familia vintage apartment,1994100,Marcello,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40466,2.17147,Entire home/apt,85,3,24,2020-02-04,0.53,3,179,2,HUTB-011450
320506,The Loft Barcelona,1642180,The Loft,Sants-Montjuïc,el Poble Sec,41.37195,2.16936,Entire home/apt,75,4,52,2018-07-17,0.61,1,221,0,hutb-004655
323854,Casa Sagrada Familia Bcn Doubleroom,1657312,Alberto,Eixample,la Sagrada Família,41.40843,2.17494,Private room,30,1,21,2014-06-02,0.19,1,10,0,
326464,Charm and quiet room,1669001,Isidro,Nou Barris,Can Peguera,41.43552,2.16423,Private room,60,1,33,2017-09-18,0.46,1,365,0,
327133,Cozy Double Room - Paseo de Gracia,1451449,Pedro,Eixample,la Dreta de l'Eixample,41.39096,2.16614,Private room,12,6,178,2017-05-24,1.56,8,0,0,Exempt
330723,SUNNY ROOM WITH BALCONY,1687383,Juanmi,Ciutat Vella,el Raval,41.37571,2.17118,Private room,30,14,52,2019-10-25,0.56,2,342,1,
330766,Urquinaona Charming and Centric,1687524,Virginia,Eixample,la Dreta de l'Eixample,41.39076,2.17503,Entire home/apt,120,2,172,2021-09-02,1.55,1,53,2,HUTB-003905
330957,Central 3 bedroom beautiful APT,893805,Phil And Fiona,Eixample,la Dreta de l'Eixample,41.39768,2.17032,Entire home/apt,130,2,425,2021-09-06,3.70,10,343,13,HUTB-010749
335861,Modern Loft Near the Beach,127482361,Apkeys,Sant Martí,el Poblenou,41.40349,2.20414,Entire home/apt,49,2,91,2019-08-06,0.95,13,0,0,HUTB-007075
337755,SEALONA VILA OLIMPICA BEACH,1716315,Marc,Sant Martí,la Vila Olímpica del Poblenou,41.39169,2.1926,Entire home/apt,144,1,14,2020-11-07,0.16,11,32,8,HUTB-002887
342641,Apartment in villa with garden&pool,1738696,Estela,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42882,2.10123,Entire home/apt,82,2,80,2020-01-03,0.91,1,318,1,HUTB-007301
343861,1BD FLAT WITH WIFI & AC IN GRACIA,1744516,Silvia & Luís,Eixample,la Dreta de l'Eixample,41.39993,2.16536,Entire home/apt,114,3,23,2020-06-03,0.31,19,269,0,HUTB-007447
343864,3 BD APT IN THE HEART OF GRACIA VIRREINA,1744516,Silvia & Luís,Gràcia,la Vila de Gràcia,41.40735,2.15885,Entire home/apt,149,3,16,2019-09-20,0.20,19,346,0,HUTB-009898
343866,COSY PRINCIPAL 3BD + 2 BATH IN GRACIA VIRREINA,1744516,Silvia & Luís,Gràcia,la Vila de Gràcia,41.40399,2.15565,Entire home/apt,145,3,34,2019-10-07,0.40,19,343,0,HUTB-008572
343972,Magic Fountain B&B WI-FI DOBLE ROOM,1744964,Patricia,Sants-Montjuïc,la Font de la Guatlla,41.37184,2.14799,Private room,30,2,7,2012-05-30,0.09,1,0,0,
345129,Charming apartment by  Barcelona sailing harbour,1238225,Lucia,Ciutat Vella,el Barri Gòtic,41.38512,2.17129,Private room,75,31,32,2013-06-05,0.31,1,88,0,
346018,Room in a flat with Barcelona best view!,1753990,Filippo,Sant Martí,el Parc i la Llacuna del Poblenou,41.3922,2.18805,Private room,70,120,17,2017-05-21,0.68,1,358,0,Exempt
351395,Garden House - 3BR Apt with amazing Terrrace,1435464,Jaume,Eixample,el Fort Pienc,41.39271,2.17974,Entire home/apt,162,3,35,2019-10-12,0.56,20,318,0,HUTB-009578
352772,Elegant Centric Attic WIFI Car Park,1786501,Fidel,Eixample,la Nova Esquerra de l'Eixample,41.38184,2.15119,Entire home/apt,124,2,113,2019-07-10,1.31,1,341,11,HUTB-005271
353640,Great Apartment in Heart of Born,1791076,Marta,Ciutat Vella,el Barri Gòtic,41.38219,2.18039,Entire home/apt,103,2,134,2021-09-05,1.72,1,301,4,HUTB-002534
357576,"Authentic Vintage Home  ""El Patio de Gracia""",1809535,Silvia,Gràcia,la Vila de Gràcia,41.40508,2.15491,Entire home/apt,117,1,232,2021-09-03,2.13,2,249,23,001176
357958,Private terrace and bathroom & WiFi,1809119,Katja,Eixample,la Nova Esquerra de l'Eixample,41.38336,2.14977,Private room,50,32,171,2021-07-22,1.86,1,172,8,
359814,APT. 4 P.. IN EIXAMPLE (BARCELONA),1819662,Mar,Eixample,l'Antiga Esquerra de l'Eixample,41.38721,2.15566,Entire home/apt,80,5,4,2015-08-19,0.05,1,275,0,HUTB-001409
359841,"BacRou, design loft near the sea",1820272,Rosa,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40502,2.20802,Entire home/apt,97,2,320,2019-12-12,3.43,4,316,0,HUTB-003912
363601,stylish flat in barcelona center,1837053,Ayal,Ciutat Vella,el Raval,41.37961,2.17306,Entire home/apt,60,32,26,2016-06-05,0.31,1,253,0,
364030,Beatiful Terrace in Bcn center  HUTB-OODIEZ94ZERO3,1839136,Mires,Eixample,Sant Antoni,41.37555,2.16254,Entire home/apt,120,3,290,2021-08-25,2.52,1,233,8,HUTB-001094
365911,"Low-priced,Super Reviewed Apartment",1260560,Ralph,Eixample,la Nova Esquerra de l'Eixample,41.37911,2.15356,Entire home/apt,101,1,84,2021-08-25,0.96,4,274,7,HUTB-004112
370665,"vig RIGHT IN EL BORN, OLD TOWN, HAPPY APARTMENT!!",1447144,Acomodis Apartments,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38545,2.18117,Entire home/apt,160,28,0,,,128,365,0,
377161,Rustic apartment Parc Guell II,1444707,Jesus,Gràcia,el Coll,41.41892,2.14871,Entire home/apt,101,2,425,2021-07-29,3.72,2,224,46,HUTB - 004404
379868,INCREDIBLE VIEW front Sagrada Familia+PRIV.BALCONY,1906952,Khris,Eixample,la Sagrada Família,41.4055,2.17124,Private room,54,2,317,2021-07-16,3.47,2,87,5,Exempt
384063,nap2 HAPPY & QUIET 3 BEDROOM & 2 BATHROOMS FLAT!!,1447144,Acomodis Apartments,Eixample,la Dreta de l'Eixample,41.39639,2.17641,Entire home/apt,134,1,9,2019-08-18,0.10,128,365,0,HUTB-02-2012-0109
384155,Barcelona Center Beach Top Design,1751133,The Punset Family,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38416,2.18257,Entire home/apt,87,32,70,2019-12-02,0.68,1,361,0,
384464,Paseo de Gracia / Plaza Catalunya,674212,Juanmi,Eixample,la Dreta de l'Eixample,41.38992,2.16974,Entire home/apt,200,2,98,2021-07-05,0.86,8,345,5,HUTB-011183
385049,MIRADOR 3 Bedroom Apartment Port Vell,3775349,Mafe,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38203,2.18362,Entire home/apt,360,1,231,2021-07-12,2.03,4,258,16,HUTB-000828
393717,Cosy apartment near Las Ramblas,1968590,Manel,Ciutat Vella,el Raval,41.3795,2.16568,Entire home/apt,95,3,319,2020-03-13,3.32,1,151,0,HUTB-002975
399772,ROCAFORT bright & nice 3 stops to Cataluña square,1995385,Ana,Eixample,la Nova Esquerra de l'Eixample,41.38268,2.15044,Entire home/apt,76,2,29,2021-08-25,0.25,3,88,10,HUTB-001948
401481,Centric Apartment in Barcelona,2004002,Xabier,Eixample,la Dreta de l'Eixample,41.38986,2.17095,Private room,40,2,415,2021-06-06,3.67,2,112,20,
402657,"Central, Sunny & Charming + Wifi",1117598,Amanda,Sants-Montjuïc,el Poble Sec,41.37372,2.15797,Entire home/apt,81,3,245,2020-03-05,2.36,1,68,0,HUTB-011385
408599,Charming 3bedroom flat with balcony,2034854,Roger,Sants-Montjuïc,el Poble Sec,41.37374,2.15852,Entire home/apt,64,2,368,2021-06-27,3.48,1,279,23,HUTB-006818
412649,Cozy flat by the Magic Fountain,542867,Gabriela & Miguel,Sants-Montjuïc,la Font de la Guatlla,41.37279,2.14834,Entire home/apt,75,2,184,2021-08-03,1.61,2,306,8,HUTB-007048
414786,Centric Double Room-Paseo de Gracia,1451449,Pedro,Eixample,la Dreta de l'Eixample,41.39213,2.16607,Private room,42,7,165,2019-12-01,1.48,8,120,0,Exempt
417239,SUNNY APARTMENT WITH TERRACE IN GRACIA,2074943,Kris,Gràcia,la Vila de Gràcia,41.40413,2.15692,Entire home/apt,95,30,98,2021-09-04,0.98,1,334,3,
424137,Spacious apartment just by Las Ramblas,2108468,Pau,Ciutat Vella,el Barri Gòtic,41.37973,2.17458,Entire home/apt,159,1,83,2020-09-07,0.94,8,326,46,HUTB-000945
